# Traditional Chinese source|English|Japanese|Korean|Spanish
切換語言|Change language|言語を切り替え|언어 변경|Cambiar idioma
停止自動備份並清除這台裝置保存的備份密碼。Drive 裡已建立的加密備份檔會保留。|Auto backup will stop and the saved password will be cleared from this device. Encrypted Drive backups will remain.|自動バックアップを停止し、この端末に保存されたパスワードを消去します。ドライブ上の暗号化ファイルは残ります。|자동 백업을 중지하고 이 기기에 저장된 암호를 지웁니다. Drive의 암호화된 백업은 남습니다.|Se detendrá la copia automática y se borrará la contraseña de este dispositivo. Las copias cifradas seguirán en Drive.
中斷連結|Disconnect|接続解除|연결 해제|Desconectar
本機已停止備份；Google 授權移除失敗，可至 Google 帳號設定檢查|Local backup stopped, but Google access could not be revoked. Check your Google account settings.|この端末でのバックアップは停止しましたが、Google の承認を取り消せませんでした。アカウント設定をご確認ください。|이 기기의 백업은 중지했지만 Google 승인을 취소하지 못했습니다. 계정 설정을 확인하세요.|La copia local se detuvo, pero no se pudo revocar el acceso de Google. Revisa los ajustes de tu cuenta.
無法中斷連結，請重試|Could not disconnect. Try again.|接続を解除できません。再試行してください。|연결을 해제할 수 없습니다. 다시 시도하세요.|No se pudo desconectar. Inténtalo de nuevo.
請重新連接 Google 帳號並確認備份密碼|Reconnect Google and check your backup password.|Google に再接続し、バックアップのパスワードを確認してください。|Google 계정을 다시 연결하고 백업 암호를 확인하세요.|Vuelve a conectar Google y comprueba la contraseña de copia.
Google Drive 權限不足，請重新登入|Google Drive permission is missing. Sign in again.|Google ドライブの権限がありません。再度ログインしてください。|Google Drive 권한이 부족합니다. 다시 로그인하세요.|Falta el permiso de Google Drive. Inicia sesión de nuevo.
Google Drive 備份失敗（%1$d），請稍後重試|Google Drive backup failed (%1$d). Try again later.|Google ドライブのバックアップに失敗（%1$d）。後で再試行してください。|Google Drive 백업 실패(%1$d). 나중에 다시 시도하세요.|Falló la copia en Google Drive (%1$d). Inténtalo más tarde.
備份未完成，請確認網路與 Google 帳號狀態|Backup incomplete. Check your network and Google account.|バックアップが完了しませんでした。通信状態と Google アカウントをご確認ください。|백업이 완료되지 않았습니다. 네트워크와 Google 계정을 확인하세요.|Copia incompleta. Comprueba la red y la cuenta de Google.
系統無法排入自動備份|The system could not schedule auto backup.|自動バックアップを予約できません。|시스템에서 자동 백업을 예약할 수 없습니다.|El sistema no pudo programar la copia automática.
✦  筆記|✦  Notes|✦  メモ|✦  메모|✦  Notas
☺  個人|☺  Profile|☺  プロフィール|☺  프로필|☺  Perfil
筆記頁|Notes tab|メモのタブ|메모 탭|Pestaña de notas
個人與設定頁|Profile and settings tab|プロフィールと設定のタブ|프로필 및 설정 탭|Pestaña de perfil y ajustes
放一篇筆記在桌面|Put a note on your home screen|ホーム画面にメモを置く|홈 화면에 메모 놓기|Pon una nota en inicio
每個小工具都能選不同的筆記。|Each widget can show a different note.|ウィジェットごとに別のメモを表示できます。|위젯마다 다른 메모를 표시할 수 있습니다.|Cada widget puede mostrar una nota distinta.
設定未能儲存，請重試|Could not save the setting. Try again.|設定を保存できません。再試行してください。|설정을 저장할 수 없습니다. 다시 시도하세요.|No se pudo guardar el ajuste. Inténtalo de nuevo.
還沒有筆記，先寫一篇吧。|No notes yet. Write one first.|まだメモがありません。まず一つ書いてみましょう。|아직 메모가 없습니다. 먼저 하나 써 보세요.|Aún no hay notas. Escribe una primero.
＋ 建立新筆記|＋ Create note|＋ 新しいメモを作成|＋ 새 메모 만들기|＋ Crear nota
🔒 加密筆記\n點一下輸入密碼|🔒 Encrypted note\nTap to enter password|🔒 暗号化されたメモ\nタップしてパスワードを入力|🔒 암호화된 메모\n탭하여 암호 입력|🔒 Nota cifrada\nToca para introducir la contraseña
選一篇筆記，放在這裡陪你。\n點一下開始選擇|Choose a note for this widget.\nTap to get started.|ここに表示するメモを選びましょう。\nタップして選択します。|여기에 표시할 메모를 선택하세요.\n탭하여 시작하세요.|Elige una nota para este widget.\nToca para empezar.
這篇筆記已刪除。\n點一下重新選擇|This note was deleted.\nTap to choose another.|このメモは削除されました。\nタップして選び直してください。|이 메모는 삭제되었습니다.\n탭하여 다시 선택하세요.|Esta nota se eliminó.\nToca para elegir otra.
已完成，點一下取消：%1$s|Done, tap to undo: %1$s|完了、タップして取り消し：%1$s|완료됨, 탭하여 취소: %1$s|Completado, toca para deshacer: %1$s
未完成，點一下勾選：%1$s|Not done, tap to check: %1$s|未完了、タップしてチェック：%1$s|미완료, 탭하여 체크: %1$s|Pendiente, toca para marcar: %1$s
編輯|Edit|編集|편집|Editar
換筆記|Change note|メモを変更|메모 변경|Cambiar nota
小工具設定儲存失敗|Could not save widget settings|ウィジェット設定を保存できません|위젯 설정을 저장할 수 없습니다|No se pudo guardar el widget
無法寫入選擇的檔案|Could not write the selected file|選択したファイルに書き込めません|선택한 파일에 쓸 수 없습니다|No se pudo escribir el archivo elegido
無法讀取備份檔|Could not read the backup file|バックアップファイルを読み込めません|백업 파일을 읽을 수 없습니다|No se pudo leer el archivo de copia
預覽已過期|Preview expired|プレビューの期限が切れました|미리보기가 만료되었습니다|La vista previa caducó
